timestamp,elapsed_time,linear_acc_x,linear_acc_y,linear_acc_z,angular_vel_x,angular_vel_y,angular_vel_z,orientation_x,orientation_y,orientation_z,orientation_w
312.94,26.826861143112183,0.026599755945737567,0.9868363583525062,9.800991089798277,-0.00038815468594667157,0.00028261518161507227,0.9999875439733525,5.457174877145874e-10,2.422139620263073e-10,0.13325157314741556,0.9910822459582953
312.95,26.8367018699646,0.006181665283733019,0.9834247070125002,9.77228074275191,-0.00011853989398251575,-7.68507782398555e-05,1.00000865092885,5.557927991299109e-10,2.4664046624062414e-10,0.13820528582948094,0.9904036040770406
312.96,26.846770524978638,0.009785965237696957,0.9729672429641896,9.838801100111262,0.00022816860108648555,-0.00013117053141515142,1.000133142760134,5.647562612108488e-10,2.5100452161329433e-10,0.14315554348513052,0.9897002022680792
312.97,26.85700225830078,-0.0017437093087465817,0.9895936262468942,9.78290082947187,-0.0001056035475614888,9.640055337932037e-05,0.9995941041752712,5.727209245854101e-10,2.5530828241813763e-10,0.14810222235683554,0.9889720581153779
312.98,26.866763830184937,0.03188057379045106,1.0009913870829366,9.806571365318424,0.00011782961349771244,-0.0001379744859649301,1.0001939703882115,5.7976962568249e-10,2.595533503676555e-10,0.15304519877635436,0.9882191898215225
312.99,26.876927852630615,-0.02283137277906562,1.011499682181238,9.785185725407244,-0.00017673056256787978,-2.7648762541785178e-05,0.9998947856251021,5.859938713069947e-10,2.637386990576825e-10,0.15798434916810625,0.9874416162072216
313.0,26.886584043502808,-0.006210501128365731,0.9542167191715791,9.839733794926804,-0.00015970474737233328,0.00021026654641279882,0.9998116704952938,5.914680078612508e-10,2.6786419837372196e-10,0.1629195500520017,0.9866393567108771
313.01,26.896843194961548,-0.015691855460030945,0.9493285955896965,9.827588047910918,-0.00019732509376834046,0.00016957195873122628,0.9999053427306926,5.96271595729953e-10,2.719340241843568e-10,0.16785067804666695,0.9858124313880781
313.02,26.90695333480835,0.004073403190417822,0.9921723402272726,9.810503569552061,0.00031795295961183903,-9.068393483854461e-05,0.9997998612231905,6.004597818928434e-10,2.759497146275566e-10,0.17277760987253835,0.9849608609110988
313.03,26.91671085357666,0.0385374171440316,0.9726270591679048,9.834836595457936,0.00015521530385185245,-9.481924201717976e-05,1.0000216133682849,6.040908792666612e-10,2.7991255015551084e-10,0.17770022235487454,0.9840846665683944
313.04,26.926827907562256,0.015111909633819509,0.9958766285777444,9.80886400696923,0.0004111519113969126,-3.408736896823221e-05,0.999990016201106,6.072182845519551e-10,2.8383173869469125e-10,0.18261839242676986,0.9831838702640835
313.05,26.936785459518433,-0.011548642727407757,0.9830372494989948,9.788495573938407,-0.0003424527276295626,-0.00014281990655367068,1.0001103940713205,6.098891159544857e-10,2.8769339692298667e-10,0.18753199713258978,0.9822584945173354
313.06,26.946755409240723,-0.004235225214402512,0.9564214581890277,9.806079265115644,-0.0003231608792028159,0.00012501070220042172,0.9997820797418486,6.121468262651295e-10,2.9150878257910945e-10,0.19244091363054436,0.9813085624619003
313.07,26.95672345161438,-0.008205103120306029,1.0215676618523715,9.81011427554501,-8.983514711040102e-05,-0.0002770299391786393,0.9998602643537671,6.140251529526134e-10,2.9527848706227145e-10,0.1973450191960314,0.9803340978454835
